,Date,sentiment_value,yesterday_sentiment,Open,High,Low,Close,Volume,avgprice,yvalue
165,9/1/2015,6.053055556,4.504527417,27.5375,27.969999,26.84,26.93,307383600,27.4049995,-0.9112505
166,9/2/2015,6.49580748,6.053055556,27.557501,28.084999,27.282499,28.084999,247555200,27.683749,0.2787495
167,9/3/2015,5.180925926,6.49580748,28.122499,28.195,27.51,27.592501,212935600,27.8525,0.168751
168,9/4/2015,2.787893218,5.180925926,27.2425,27.612499,27.127501,27.317499,199985200,27.37,-0.4825
169,9/8/2015,4.927656025,2.787893218,27.9375,28.139999,27.58,28.077499,219374400,27.8599995,0.4899995
170,9/9/2015,5.164006133,4.927656025,28.440001,28.504999,27.442499,27.5375,340043200,27.973749,0.1137495
171,9/10/2015,3.775735029,5.164006133,27.567499,28.32,27.475,28.1425,251571200,27.8975,-0.076249
172,9/11/2015,1.947041847,3.775735029,27.9475,28.5525,27.940001,28.5525,199662000,28.2462505,0.3487505
173,9/14/2015,6.501677489,1.947041847,29.145,29.2225,28.715,28.827499,233453600,28.96875,0.7224995
174,9/15/2015,3.886010101,6.501677489,28.9825,29.1325,28.605,29.07,173364800,28.86875,-0.1
175,9/16/2015,2.005728716,3.886010101,29.0625,29.135,28.860001,29.102501,148694000,28.9975005,0.1287505
176,9/17/2015,4.117920875,2.005728716,28.915001,29.122499,28.43,28.48,256450400,28.7762495,-0.221251
177,9/18/2015,4.246404762,4.117920875,28.0525,28.575001,27.967501,28.362499,297141200,28.271251,-0.5049985
178,9/21/2015,6.204915224,4.246404762,28.4175,28.842501,28.415001,28.8025,200888000,28.628751,0.3575
179,9/22/2015,4.761839827,6.204915224,28.344999,28.545,28.129999,28.35,201384800,28.3374995,-0.2912515
180,9/23/2015,5.864448052,4.761839827,28.407499,28.68,28.325001,28.58,143026800,28.5025005,0.165001
181,9/24/2015,3.910595238,5.864448052,28.3125,28.875,28.092501,28.75,200878000,28.4837505,-0.01875
182,9/25/2015,6.275761183,3.910595238,29.110001,29.172501,28.504999,28.6775,224607600,28.83875,0.3549995
183,9/28/2015,4.751792929,6.275761183,28.4625,28.6425,28.110001,28.110001,208436000,28.3762505,-0.4624995
184,9/29/2015,2.796424964,4.751792929,28.2075,28.377501,26.965,27.264999,293461600,27.6712505,-0.705
185,9/30/2015,5.110064935,2.796424964,27.5425,27.885,27.182501,27.575001,265892000,27.5337505,-0.1375
186,10/1/2015,3.720803271,5.110064935,27.2675,27.405001,26.827499,27.395,255716400,27.11625,-0.4175005
187,10/2/2015,1.887348485,3.720803271,27.002501,27.752501,26.887501,27.594999,232079200,27.320001,0.203751
188,10/5/2015,5.344050024,1.887348485,27.469999,27.842501,27.2675,27.695,208258800,27.5550005,0.2349995
189,10/6/2015,5.146807359,5.344050024,27.657499,27.934999,27.442499,27.827499,192787200,27.688749,0.1337485
190,10/7/2015,5.495952381,5.146807359,27.934999,27.942499,27.352501,27.695,187062400,27.6475,-0.041249
191,10/8/2015,3.114869529,5.495952381,27.547501,27.547501,27.0525,27.375,247918400,27.3000005,-0.3474995
192,10/9/2015,2.053690476,3.114869529,27.5,28.07,27.372499,28.030001,211064400,27.7212495,0.421249
